Index,local_timestamp,Time_Index,Ambient Dew Point (°C),Ambient Humidity (%),Ambient Temperature (°C),Barometric Pressure (mb),Rain Accumulation Record (mm),Rain Accumulation for Day (mm),Rain Intensity (mm/hr),Rain Intensity Peak (mm/hr),POA Irradiance (W/m²),Aggregate AC Power (kW)
0,5/16/2017 0:15,1,8.794847,59.828,16.62,1016.309,0,0,0,0,0,0
1,5/16/2017 0:15,2,8.794847,59.828,16.62,1016.309,0,0,0,0,0,0
2,5/16/2017 0:30,3,8.628186,60.06933,16.38,1016.489,0,0,0,0,0,0
3,5/16/2017 0:45,4,8.887643,61.73733,16.22533,1016.593,0,0,0,0,0,0
4,5/16/2017 1:00,5,9.024196,63.57466,15.90933,1016.661,0,0,0,0,0,0
5,5/16/2017 1:15,6,8.826341,63.42667,15.73733,1016.673,0,0,0,0,0,0
6,5/16/2017 1:30,7,9.090429,65.28266,15.56533,1016.768,0,0,0,0,0,0
7,5/16/2017 1:45,8,9.323045,67.27333,15.34267,1016.719,0,0,0,0,0,0
8,5/16/2017 2:00,9,9.584785,69.66933,15.07067,1016.665,0,0,0,0,0,0
9,5/16/2017 2:15,10,9.601104,70.37733,14.93067,1016.585,0,0,0,0,0,0
10,5/16/2017 2:30,11,9.261799,69.70667,14.72533,1016.425,0,0,0,0,0,0
11,5/16/2017 2:45,12,9.288368,70.41199,14.59733,1016.407,0,0,0,0,0,0
12,5/16/2017 3:00,13,9.027195,69.9202,14.43333,1016.4,0,0,0,0,0,0
13,5/16/2017 3:15,14,8.976078,70.72923,14.20231,1016.333,0,0,0,0,0,0
14,5/16/2017 3:30,15,8.995009,70.95933,14.172,1016.395,0,0,0,0,0,0
15,5/16/2017 3:45,16,9.026822,71.96933,13.98733,1016.46,0,0,0,0,0,0
16,5/16/2017 4:00,17,8.858284,71.25667,13.96533,1016.561,0,0,0,0,0,0
17,5/16/2017 4:15,18,8.909217,71.80334,13.90067,1016.715,0,0,0,0,0,0
18,5/16/2017 4:30,19,8.989891,71.82733,13.97933,1016.868,0,0,0,0,0,0
19,5/16/2017 4:45,20,9.097742,73.04133,13.83333,1017.007,0,0,0,0,0,0
20,5/16/2017 5:00,21,9.232348,74.61467,13.64533,1017.148,0,0,0,0,0,0
21,5/16/2017 5:15,22,8.853248,71.81667,13.84067,1017.342,0,0,0,0,0,0
22,5/16/2017 5:30,23,8.983565,72.74599,13.77867,1017.413,0,0,0,0,0,0
23,5/16/2017 5:45,24,8.943083,73.74466,13.526,1017.548,0,0,0,0,0,0
24,5/16/2017 6:00,25,8.571203,71.06066,13.71,1017.701,0,0,0,0,0,0
25,5/16/2017 6:15,26,8.621553,69.42066,14.12133,1017.874,0,0,0,0,2.853333,0
26,5/16/2017 6:30,27,8.747689,69.07533,14.33,1018.001,0,0,0,0,10.734,0.35315346
27,5/16/2017 6:45,28,9.171915,68.83,14.828,1018.181,0,0,0,0,22.18867,2.876226
28,5/16/2017 7:00,29,9.662759,70.49667,14.96867,1018.314,0,0,0,0,53.17533,7.011207
29,5/16/2017 7:15,30,10.64184,73.09866,15.42333,1018.468,0,0,0,0,36.99,12.707191
